Edad;HorasEstudioxDia;HoraDescansoxDia;HorasFrentePantalla;HorasGymxSemana;PorcAsistencia;NivelStress;Promedio;Categoria_Rendimiento
17;0.7;4.33;1.83;5.01;71.84;3.69;43.35;Bajo
17;1.69;5.94;6.57;0;70.63;3.48;40.97;Bajo
17;3.05;4.86;6.33;6.84;71.8;6.05;50.42;Bajo
17;3.85;3.48;6.53;3.69;73.87;8.28;49.29;Bajo
17;4.26;4.77;7.49;2.95;77.14;6.94;50.15;Bajo
17;2.09;5.56;3.38;6.26;65.61;2.85;54.18;Bajo
17;3.99;3.46;4.37;0;81.47;7.62;57.76;Bajo
17;4.48;4.95;2.98;8.37;81.24;6.79;53.59;Bajo
17;2.94;5.03;5.36;11.83;71.19;4.56;50.66;Bajo
17;2.64;5.75;7.63;0.91;79.12;3.7;58.79;Bajo
17;2.22;4.39;2.54;6.9;72.24;5.18;48.9;Bajo
17;3.36;6;3.08;5.09;79.01;4.6;52.19;Bajo
17;0.83;8.93;5.97;4.15;58.68;1;53.79;Bajo
17;3.97;5.8;6.17;6.84;80.89;5.83;45.94;Bajo
17;0.81;7.77;4.78;3.39;56.39;1;51.1;Bajo
17;3.8;4.69;7.9;10.38;80.18;6.94;54.03;Bajo
17;0.5;6.07;5.88;17.42;61.42;2.56;65.58;Bajo
17;1.84;6.23;5.34;0;77.3;3.56;56.63;Bajo
17;3;5.5;5.76;4.91;71.99;4.53;55.57;Bajo
17;4.64;5.48;4.91;3.36;79.93;7.38;61.73;Bajo
17;2.17;4.53;6.42;10.33;68.66;4.15;55.27;Bajo
17;6.12;4.87;3.37;8.61;87.38;7.7;56.38;Bajo
17;2.65;6.03;4.26;1.87;61.8;2.73;57.09;Bajo
17;3.69;6.18;1;6.57;78.48;4.85;59.42;Bajo
17;0.5;7.07;3.49;8.46;54.66;2.48;56.34;Bajo
17;2.8;4.94;4.89;9.58;77.96;6.78;69.6;Bajo
17;3.61;5.75;4.29;8.67;81.8;4.82;62.88;Bajo
17;1.61;6.94;2.37;9.56;63.39;1;54.33;Bajo
17;3.65;5.63;5.22;5.75;75.95;5.13;59.57;Bajo
17;2.19;6.5;2.96;6.92;70.26;2.82;51.25;Bajo
17;2.78;5.52;5.11;5.13;74.83;5.6;58.47;Bajo
17;1.69;7.39;4.86;14.56;67.74;1.74;56.63;Bajo
17;3.5;6.25;5.26;8.3;69.45;5.72;59.73;Bajo
17;4.47;5.94;3.9;4.65;71.71;6.12;61.34;Bajo
17;4.54;7.85;5.36;3.05;86.24;6.53;61.51;Bajo
17;4.13;5.02;3.6;11.17;89.44;6.9;55.36;Bajo
17;3.67;5.59;6.72;18.77;73.24;5.85;52.64;Bajo
17;2.01;5.89;4.6;16.69;66.01;4.24;62.89;Bajo
17;2.49;7.08;1.11;7.64;62.68;3.53;63.69;Bajo
17;3.49;6.06;3.71;12.18;79.32;4.48;59.41;Bajo
17;3.51;6.2;1;0;73.66;3.54;63.09;Bajo
17;6.88;5.24;1;8.48;93.69;10;62.89;Bajo
17;2.35;5.61;7.33;8.62;83.25;3.94;55.16;Bajo
17;3.38;5.19;8.77;2.08;78.85;5.59;64.37;Bajo
17;3.02;6.29;4.17;3.68;74.46;4.72;48.65;Bajo
17;4.62;5.83;8.98;11.21;90.61;5.97;61.26;Bajo
17;4.17;4.74;4.19;6.19;76.97;6.23;65.07;Bajo
17;2.78;8.47;2.81;5.19;74.19;1;55.87;Bajo
17;2.74;6.62;4.92;0;69.11;2.27;59.56;Bajo
17;2.96;6.11;1.47;3.43;77.22;4.76;63.6;Bajo
17;3.54;6.41;5.06;8.23;74.13;4.16;58.24;Bajo
17;3.51;5.72;5.58;9.21;80.22;5.3;61.14;Bajo
17;6.54;6.34;3.68;8.37;89.74;6.77;61.43;Bajo
17;1.57;7.87;3.96;8.49;68.43;1;62.06;Bajo
17;2.76;6.56;7.06;10.77;71.03;3.68;61.33;Bajo
17;4.95;6.52;2.34;6.09;89.9;6.51;61.24;Medio
17;3.99;4.98;5.13;13.87;73.75;5.41;57.53;Medio
17;6.46;4.37;3.69;0;95.92;10;58.38;Medio
17;3.73;6.02;6.06;12.74;74.13;5.24;72.44;Medio
17;5.25;5.7;3.46;6;82.34;6.32;56.98;Medio
17;4.06;5.25;5.69;3.3;78.55;4.89;59.38;Medio
17;2.99;6.55;4.74;3.97;76.31;3.46;59.99;Medio
17;3.8;5.79;5.27;13.96;75.16;6.31;67.93;Medio
17;5.56;5.46;6.44;5.78;85.51;6.95;72.45;Medio
17;3.19;7.67;6.57;10.53;82.78;3.19;62.98;Medio
17;4.23;5.38;7.39;11.68;81.73;6.46;61.88;Medio
17;3.8;6.39;6.74;9.08;85.3;5.04;65.3;Medio
17;6.28;6.01;5.83;6.68;90.47;7.27;71.9;Medio
17;5.3;6.3;4.85;16;77.64;4.57;51.34;Medio
17;3.75;6.23;5.08;10.9;77.99;4.64;71.85;Medio
17;3.3;6.21;4.37;11.93;72.46;5.41;66.92;Medio
17;4.45;5.96;5.36;7.86;84.58;5.27;58.93;Medio
17;5.31;5.9;2.42;10.75;81.3;7.59;66.73;Medio
17;6.51;6.94;2.4;7.63;89.56;8.9;66.42;Medio
17;4.53;6.09;8.54;8.88;84.84;5.11;69.57;Medio
17;7.06;4.25;5.02;2.41;87.36;9.15;65.65;Medio
17;2.57;7.83;8.36;7.22;67.35;1.72;66.64;Medio
17;4.47;6.38;3.79;5.99;81.15;5.66;66.63;Medio
17;2.46;6.87;1.49;4.48;72.84;2.74;63.53;Medio
17;2.59;8.14;6;6.94;72.65;1.44;61.57;Medio
17;4.47;5.6;7.23;3.45;85.13;6.01;66.67;Medio
17;4.99;4.75;4.86;11.81;82.45;6.22;67.77;Medio
17;4.04;5.21;2.6;0;86.51;4.05;62.58;Medio
17;3.56;6.76;5.5;8.59;87.25;3.6;58.99;Medio
17;3.08;5.89;3.84;11.53;69.92;3.02;66.21;Medio
17;2.01;8.14;5.13;6.84;68.06;1;59.52;Medio
17;4.07;6.16;6.76;12.86;86.21;3.48;63.24;Medio
17;4.31;5.42;6.55;1.98;84.64;5.51;76.7;Medio
17;3.16;8.29;3.56;0;67.86;3.97;59.33;Medio
17;4.28;5.74;7.26;8.64;84.12;5.09;57.08;Medio
17;1.56;6.78;4.7;8.29;67.58;1.24;70.14;Medio
17;5.1;5.99;4.28;10.13;89.71;4.42;56.83;Medio
17;5.44;4.8;6.8;7.81;85.17;7.59;66.75;Medio
17;2.4;6.24;3.52;17.01;69.51;2.96;64.68;Medio
17;4.71;6.03;4.41;0;85.68;6.35;67.3;Medio
17;2.37;7.27;3.16;6.64;72.21;1;69.14;Medio
17;5.16;4.55;3.46;16.44;84.39;5.27;65.28;Medio
17;3.69;6.11;9.27;0;75.98;2.87;74.95;Medio
17;6.28;5.83;4.94;11.87;97.32;8.16;74.25;Medio
17;3.62;5.95;3.39;12.37;74.57;4.1;68.43;Medio
17;3.71;7.29;5.22;15.22;72.21;3.89;70.54;Medio
17;6.67;6.78;5.26;7.24;88.77;8.8;73.09;Medio
17;2.18;7.05;3.7;0;76.34;1;71.14;Medio
17;4.12;8.25;5.09;10.57;85.2;3.47;68.17;Medio
17;4.69;6.16;4.83;9.14;92.59;4.82;71.8;Alto
17;4.46;6.47;9.02;12.26;78.59;3.95;72.52;Alto
17;4.02;6.55;3.88;2.86;89.29;4.19;66.97;Alto
17;2.2;8.79;7.28;3.82;78.19;1;63.17;Alto
17;3.47;8.43;1;13.75;71.94;1.83;70.33;Alto
17;6.17;6.71;6.7;9.33;92.05;6.03;72.07;Alto
17;3.1;8.81;1;3.93;79;1.74;80.82;Alto
17;5.52;6.46;4.11;0;90.54;6.67;74.42;Alto
17;4.35;8.43;1.02;9.78;85.65;2.81;70.77;Alto
17;6.34;8.27;6.15;6.68;85.18;5.2;68.22;Alto
17;4.19;7.28;5.84;10.78;81.57;4.17;60.14;Alto
17;5.73;6.16;4.25;0;92.13;6.9;71.59;Alto
17;3.92;5.52;4.97;5.28;74.1;4.32;72.28;Alto
17;2.63;8.02;4.31;0;74.52;1.23;74;Alto
17;4.43;8.3;8.77;5.15;88.79;2.67;73.98;Alto
17;7.33;5.71;1.35;7.51;99.76;8.89;72.58;Alto
17;5.63;6.43;6.38;7.03;85.59;7.3;75.72;Alto
17;3.88;7.2;4.36;2.33;81.97;1.71;81.64;Alto
17;5.93;7.34;10.5;8.3;93.96;5.02;79.53;Alto
17;4.92;8.45;5.42;5.03;82.71;4.53;72.02;Alto
17;4.05;8.06;4.93;11.37;84.3;3.81;74.19;Alto
17;7.42;5.92;4.12;14.08;100;9.53;70.69;Alto
17;5.29;6.82;3.34;0.73;87.49;6.55;73.47;Alto
17;3.61;6.78;7.68;2;82.53;2.19;72.21;Alto
17;4.36;9.58;6.98;1.32;85.07;2.05;68.22;Alto
17;4.49;8.55;3.03;10.58;70.12;1.71;79.4;Alto
17;4.09;8.03;6.31;5;85.13;3.73;74.04;Alto
17;5.88;6.93;4.96;1.01;95.33;5.66;80.02;Alto
17;3.65;8.28;3.41;7.03;75.23;1;79.03;Alto
17;6.56;8.52;7.33;8.44;90.21;5.16;77.59;Alto
17;5.09;7.79;5.64;4.02;91.17;3.8;84.6;Alto
17;6.87;7.92;2.21;18.13;95.26;5.4;90.39;Alto
18;3.24;4.18;5.89;15.94;82.36;7.49;53.69;Bajo
18;1.47;4.8;5.53;3.78;66.9;3.51;56.7;Bajo
18;2.91;7.48;2.94;5.62;71.14;4.84;50.53;Bajo
18;5.67;5.75;7.47;8.84;89.26;7;64.97;Bajo
18;3.16;5.42;1.37;12.01;81.38;5.07;57.19;Bajo
18;3.59;5.93;5.64;9.78;76.97;4.95;49.65;Bajo
18;1.11;7.24;7.74;3.86;61.18;1;52.5;Bajo
18;2.08;4.83;1.08;12.56;64.36;4.7;43.02;Bajo
18;1.98;7.31;6.68;15.52;73.66;2.65;56.8;Bajo
18;2.93;7.41;8.38;13.99;72.92;2.33;46.38;Bajo
18;4.58;4.18;7.51;11.5;84.56;7.44;65.96;Bajo
18;3.07;5.14;3.29;0.85;76.2;4.28;55.29;Bajo
18;2.79;5.56;1.78;5.63;75;4.78;57.21;Bajo
18;5.16;5.19;1.67;2.59;91.21;7.33;55.82;Bajo
18;2.12;6.76;4.35;5.03;70.77;2.14;55.1;Bajo
18;2.23;7.4;4.13;3.62;71.75;2.34;51.91;Bajo
18;1.99;6.42;7.78;0.53;68.42;1.06;51.43;Bajo
18;5.42;5.3;2.77;17.09;89.89;7.38;53.34;Bajo
18;2.67;7.47;2.97;2.98;72.75;3.08;56.68;Bajo
18;3.75;5.58;4.15;4.39;74.69;3.14;56.37;Bajo
18;2.49;5.19;3.51;12.83;69.89;4.71;54.09;Bajo
18;3.07;6.16;5.58;2.59;72.4;4.62;62.43;Bajo
18;5.52;5.44;1.14;6.97;87.81;8.01;61.37;Bajo
18;2.4;7.34;3.98;7.36;74.74;3.91;61.88;Bajo
18;3.61;6.93;1.28;0;81.06;2.85;59.12;Bajo
18;3.43;6.95;6.51;7.62;81.48;4.06;65.39;Bajo
18;6.44;5.34;5.39;8.77;91.57;9.57;59.99;Bajo
18;4.68;5.7;3.38;11.59;77.65;4.92;64.02;Bajo
18;3.93;6.51;7.37;2.81;96.74;4.19;65.09;Bajo
18;3.72;6.24;1.76;6.99;73.05;4.33;62.06;Medio
18;4.41;5.99;6.12;7.27;77.19;5.05;62.79;Medio
18;2.31;7.45;4.74;19.91;67.5;2.36;53.51;Medio
18;1.82;5.65;4.14;2.07;78.86;1;60.34;Medio
18;4.98;6.69;2.23;6.06;86.66;6.57;65.04;Medio
18;2.27;8.11;1;12.24;74.14;2.76;56.64;Medio
18;2.03;6.58;4.37;8.42;70.17;1.36;64.81;Medio
18;3.46;6.6;4.98;7.68;82.76;4.01;57.89;Medio
18;5.03;6.75;6.44;3.32;82.64;5.47;57.95;Medio
18;4.22;6.13;5.68;14.3;81.77;5.18;68.15;Medio
18;4.44;6.9;6.43;6.73;91.36;5.56;61.43;Medio
18;2.97;8.31;3.17;14.08;72.27;1.88;61.52;Medio
18;3.28;6.27;7.44;2.95;72.57;3.4;65.81;Medio
18;3.35;6.07;6.84;2.49;72.04;3.14;61.76;Medio
18;3.94;6.47;1;0;88.49;3.74;60.93;Medio
18;1.97;8.43;7.46;15.93;64.64;1;63.35;Medio
18;5.63;6.21;7.02;8.11;84.08;7.18;68.55;Medio
18;3.19;6.11;6.84;5.13;76.53;2.94;63.99;Medio
18;1.46;6.86;2.77;7.77;69.04;1.1;64.59;Medio
18;4.87;6.75;4.18;14.37;77.8;5.9;67.46;Medio
18;3.89;7.83;5.7;3.76;75.83;3.24;62.63;Medio
18;3.7;6.46;3.67;0;85.02;3.92;67.61;Medio
18;3.14;5.6;1;16.79;66.69;4.02;70.02;Medio
18;3.57;7.24;8.94;0;68.55;1;66.82;Alto
18;6.22;7.34;2.43;17.97;99.81;6.4;63.83;Alto
18;4.36;6.85;4.85;11.66;89.29;4.15;75.39;Alto
18;2.9;7.01;3.06;9.13;77.79;1.95;78.29;Alto
18;3.64;8.32;6.54;7.17;77.07;1.67;81.28;Alto
18;5.08;7.3;6.51;8.73;85.3;2.9;69.52;Alto
18;3.83;6.38;4.74;11.84;90.59;4.4;68.57;Alto
18;2.2;7.81;5.14;15.45;64.3;2.25;68.03;Alto
18;5.99;6.21;3.47;6.29;85.92;7.67;65.43;Alto
18;5.01;6.07;3.93;12.41;83.73;4.83;74.49;Alto
18;4.95;6.69;4.52;3.72;93.65;5.15;82.76;Alto
18;4.61;6;4.2;4.82;85.54;4.49;70.23;Alto
18;5.8;6.25;6.35;20.43;87.97;4.95;76.48;Alto
18;5.82;6.25;5.31;16.42;93.51;5.99;70.8;Alto
18;5.32;6.44;6.89;0;91.04;4.8;72.23;Alto
18;5.29;6.8;1;11.48;72.01;6.75;73.42;Alto
18;4.12;8.02;7.89;21;78.89;2.8;77.95;Alto
18;4.94;6.5;9.44;11.76;92.69;5.1;76.48;Alto
18;3.45;8.32;7.28;16.78;80.21;1;71.98;Alto
18;5.43;7.49;6.11;16.48;86.59;5.72;81.35;Alto
18;5.61;6.63;2.99;5.04;98.41;4.98;82.35;Alto
18;4.09;7.61;5.31;4.33;86.22;3.02;80.94;Alto
